id,type,title,quality,status,times_selected,source_session,source_entry_id,content_hash,created_at,payload_json
ev-38040d23696f7674,EVIDENCE,Action: think: I need to find a bowl and a desklam,0.552438,active,0,var/eval/sessions-r1/game-000-look_at_obj.jsonl,a0,3e12b9067fc67b049fd42663229f8555307fa6cbac83b8a051b514aec4758e44,2026-08-03T03:26:28.937Z,"{""text"":""Action: think: I need to find a bowl and a desklamp"",""sourceSession"":""var/eval/sessions-r1/game-000-look_at_obj.jsonl"",""sourceEntryId"":""a0"",""charStart"":0,""charEnd"":51}"
ev-9dc230f5fb01cded,EVIDENCE,I will start by checking the drawers,0.552438,active,0,var/eval/sessions-r1/game-000-look_at_obj.jsonl,a0,36d891c67d7e7ab9ac14e130638f7fb08c6fb5e7dbb72d88b2b3610e42e11df2,2026-08-03T03:26:28.947Z,"{""text"":""I will start by checking the drawers"",""sourceSession"":""var/eval/sessions-r1/game-000-look_at_obj.jsonl"",""sourceEntryId"":""a0"",""charStart"":0,""charEnd"":36}"
ev-6b45f7017d5f1c90,EVIDENCE,Observation: OK,0.552438,active,0,var/eval/sessions-r1/game-000-look_at_obj.jsonl,a0,fc494d73090c1123510273f8bdacd91ccc8ef9ec93beb7092f4a1e1d20adfca4,2026-08-03T03:26:28.955Z,"{""text"":""Observation: OK"",""sourceSession"":""var/eval/sessions-r1/game-000-look_at_obj.jsonl"",""sourceEntryId"":""a0"",""charStart"":0,""charEnd"":15}"
ev-5a865728ae860249,EVIDENCE,Action: go to drawer 1,0.552438,active,0,var/eval/sessions-r1/game-000-look_at_obj.jsonl,a1,5c2291455d2bb001fbdf5d448346811afca89162f4b0e573d3903641cc023fab,2026-08-03T03:26:28.957Z,"{""text"":""Action: go to drawer 1"",""sourceSession"":""var/eval/sessions-r1/game-000-look_at_obj.jsonl"",""sourceEntryId"":""a1"",""charStart"":0,""charEnd"":22}"
ev-dc23daba51bbf47e,EVIDENCE,Observation: You arrive at drawer 1,0.552438,active,0,var/eval/sessions-r1/game-000-look_at_obj.jsonl,a1,0183e81eb6656d7f6d33e28bbf9653193dd6da0387636ef3840adde06ee6053f,2026-08-03T03:26:28.960Z,"{""text"":""Observation: You arrive at drawer 1"",""sourceSession"":""var/eval/sessions-r1/game-000-look_at_obj.jsonl"",""sourceEntryId"":""a1"",""charStart"":0,""charEnd"":35}"
ev-2a11424e00006507,EVIDENCE,The drawer 1 is closed,0.552438,active,0,var/eval/sessions-r1/game-000-look_at_obj.jsonl,a1,961f0b0be0cdbefde60298293ed1b3b6360236d496063e2ebbc7c1182f2cf5f9,2026-08-03T03:26:28.962Z,"{""text"":""The drawer 1 is closed"",""sourceSession"":""var/eval/sessions-r1/game-000-look_at_obj.jsonl"",""sourceEntryId"":""a1"",""charStart"":0,""charEnd"":22}"
ev-3c50c588b16936a4,EVIDENCE,Action: open drawer 1,0.552438,active,0,var/eval/sessions-r1/game-000-look_at_obj.jsonl,a2,97ac873d90d983032b97205b668c1cc89e1463dfc508b828eddcade61eecb66a,2026-08-03T03:26:28.965Z,"{""text"":""Action: open drawer 1"",""sourceSession"":""var/eval/sessions-r1/game-000-look_at_obj.jsonl"",""sourceEntryId"":""a2"",""charStart"":0,""charEnd"":21}"
ev-60bfa4d7315758d3,EVIDENCE,Observation: You open the drawer 1,0.552438,active,0,var/eval/sessions-r1/game-000-look_at_obj.jsonl,a2,ed26654588c707cc0a0f25136e56d6d8353404be707eeb8d435ca62f0855136d,2026-08-03T03:26:28.967Z,"{""text"":""Observation: You open the drawer 1"",""sourceSession"":""var/eval/sessions-r1/game-000-look_at_obj.jsonl"",""sourceEntryId"":""a2"",""charStart"":0,""charEnd"":34}"
ev-7e90d8b6557eaea4,EVIDENCE,The drawer 1 is open,0.552438,active,0,var/eval/sessions-r1/game-000-look_at_obj.jsonl,a2,cea316f8882d11f0564472608e18e94c77c506588bf460b663775214fbd0350a,2026-08-03T03:26:28.970Z,"{""text"":""The drawer 1 is open"",""sourceSession"":""var/eval/sessions-r1/game-000-look_at_obj.jsonl"",""sourceEntryId"":""a2"",""charStart"":0,""charEnd"":20}"
ev-2c37f8352b2311ff,EVIDENCE,"In it, you see a creditcard 1",0.552438,active,0,var/eval/sessions-r1/game-000-look_at_obj.jsonl,a2,bc0ad22ae15d01cd5a60703144f5b4ea383978450132a1dec3564ab39bb3e215,2026-08-03T03:26:28.972Z,"{""text"":""In it, you see a creditcard 1"",""sourceSession"":""var/eval/sessions-r1/game-000-look_at_obj.jsonl"",""sourceEntryId"":""a2"",""charStart"":0,""charEnd"":29}"
