id,trace_id,sequence,purpose,provider,provider_attempt,state,timeout_ms,quality_signals_json,usage_source,input_tokens,output_tokens,cost_micro_usd,error_code,created_at,completed_at,channel_id,client_id
4,chatcmpl-2b070fadef5a476b84d8374efc64d859,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,24,6,,,2026-07-30 12:53:55.055931,2026-07-30 12:53:55.747441,dev,lobsterai
5,chatcmpl-f7f2fbfde0c74192bc82889992874268,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""tool_calls"", ""has_tool_calls"": true, ""empty_output"": false, ""forced_tool_missing"": false}",provider,85,14,,,2026-07-30 12:54:20.734874,2026-07-30 12:54:21.942700,dev,lobsterai
6,chatcmpl-925e7602bbe446b1aecf7ea9f5db6f78,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""length"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,19,1,,,2026-07-30 12:56:25.816357,2026-07-30 12:56:27.270081,dev,lobsterai
7,chatcmpl-925e7602bbe446b1aecf7ea9f5db6f78,2,escalation,deepseek,0,succeeded,120000,"{""finish_reason"": ""length"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false, ""escalation_reason"": ""finish_reason_length""}",provider,9,1,,,2026-07-30 12:56:25.816357,2026-07-30 12:56:27.270081,dev,lobsterai
8,chatcmpl-e1414c60b14146f48990ea741b3d30f3,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,26,1,,,2026-07-30 12:57:15.832371,2026-07-30 12:57:16.361757,dev,lobsterai
9,chatcmpl-4e61cd69742c439eb30494bb54e1a8d7,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1610,22,,,2026-07-30 13:11:21.358994,2026-07-30 13:11:30.378443,dev,lobsterai
10,chatcmpl-1066648c02bb46c8a9ea9870b0ee8725,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1637,5,,,2026-07-30 13:11:30.405379,2026-07-30 13:11:33.688605,dev,lobsterai
11,chatcmpl-2763bf28c2c24bc5a407e8c54d0b4a42,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1659,4,,,2026-07-30 13:11:33.948495,2026-07-30 13:11:37.503390,dev,lobsterai
12,chatcmpl-1ae0acb90a7546a8ae7c6dfd83134543,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1691,5,,,2026-07-30 13:11:37.528046,2026-07-30 13:11:41.245180,dev,lobsterai
13,chatcmpl-c1a918d6af2045deac35441acf8d61a4,1,primary,omlx,0,succeeded,120000,"{""finish_reason"": ""stop"", ""has_tool_calls"": false, ""empty_output"": false, ""forced_tool_missing"": false}",provider,1719,23,,,2026-07-30 13:11:41.269950,2026-07-30 13:11:45.461067,dev,lobsterai
