request_id,ts,model,stream,retrieved_count,retrieved_ids,retrieved_kinds,hit,finish_reason,prompt_tokens,completion_tokens,latency_ms,error
req-2,2026-08-03T03:34:36.488Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-adf8d57a357bd95c"",""ev-e12935dd57c3cd65"",""ev-3c2f3909b841180f"",""ev-38040d23696f7674""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,59194,
req-3,2026-08-03T03:35:35.709Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-67d568c662e9d08a"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c"",""ev-e12935dd57c3cd65""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,9602,
req-4,2026-08-03T03:35:45.355Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-67d568c662e9d08a"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c"",""ev-bbadfa00dfca090f""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,11156,
req-5,2026-08-03T03:35:56.542Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,11796,
req-6,2026-08-03T03:36:08.377Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,5973,
req-7,2026-08-03T03:36:14.390Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,7583,
req-8,2026-08-03T03:36:22.007Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,7765,
req-9,2026-08-03T03:36:29.815Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,3091,
req-a,2026-08-03T03:36:32.930Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,2707,
req-b,2026-08-03T03:36:35.675Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,3083,
req-c,2026-08-03T03:36:38.794Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,3313,
req-d,2026-08-03T03:36:42.140Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,3343,
req-e,2026-08-03T03:36:45.520Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,3487,
req-f,2026-08-03T03:36:49.049Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,3647,
req-g,2026-08-03T03:36:52.745Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,4236,
req-h,2026-08-03T03:36:57.012Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,4458,
req-i,2026-08-03T03:37:01.548Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,4698,
req-j,2026-08-03T03:37:06.254Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,4946,
req-k,2026-08-03T03:37:11.233Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,5118,
req-l,2026-08-03T03:37:16.390Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,5350,
req-m,2026-08-03T03:37:21.772Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,5622,
req-n,2026-08-03T03:37:27.413Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,5772,
req-o,2026-08-03T03:37:33.217Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,5933,
req-p,2026-08-03T03:37:39.183Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,6219,
req-q,2026-08-03T03:37:45.448Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,6408,
req-r,2026-08-03T03:37:51.880Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,6625,
req-s,2026-08-03T03:37:58.544Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,6967,
req-t,2026-08-03T03:38:05.550Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,7315,
req-u,2026-08-03T03:38:12.904Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,7370,
req-v,2026-08-03T03:38:20.334Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,7967,
req-w,2026-08-03T03:38:28.345Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,3134,
req-x,2026-08-03T03:38:31.489Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,3264,
req-y,2026-08-03T03:38:34.816Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,3607,
req-z,2026-08-03T03:38:38.446Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-adf8d57a357bd95c""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,3537,
req-10,2026-08-03T03:38:42.023Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-450040b67fc480ce""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,19032,
req-11,2026-08-03T03:39:01.159Z,deepseek-v4-flash,1,8,"[""ev-892e75bea953d1df"",""ev-67d568c662e9d08a"",""ev-45a38cbe4194237c"",""ev-725d6d7248370563"",""ev-0fd78b3f267c0ac4"",""ev-8439264ee30478f5"",""ev-38040d23696f7674"",""ev-450040b67fc480ce""]","[""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null"",""EVIDENCE:null""]",1,stop,0,0,4014,
