leg,game_idx,task_type,won,steps,invalid_actions,tokens_in,tokens_out,elapsed_s,gamefile
L1-control-deepseek,0,look_at_obj,0,49,34,97736,289,43.0,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/look_at_obj_in_light-Bowl-None-DeskLamp-308/trial_T20190907_133919_856963/game.tw-pddl
L1-control-deepseek,1,pick_two_obj,0,49,26,108620,571,44.9,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_two_obj_and_place-SoapBar-None-GarbageCan-424/trial_T20190909_064221_368939/game.tw-pddl
L1-control-deepseek,2,pick_cool_then_place,0,49,39,115744,630,43.4,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_cool_then_place_in_recep-Tomato-None-Microwave-10/trial_T20190909_102710_795182/game.tw-pddl
L1-control-deepseek,3,pick_clean_then_place,0,49,33,130312,938,44.4,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_clean_then_place_in_recep-Plate-None-CounterTop-10/trial_T20190908_213420_728917/game.tw-pddl
L1-control-deepseek,4,pick_clean_then_place,0,49,7,130704,1520,45.5,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_clean_then_place_in_recep-SoapBar-None-CounterTop-424/trial_T20190907_074106_050405/game.tw-pddl
L1-control-deepseek,5,pick_cool_then_place,0,49,23,150120,1280,45.4,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_cool_then_place_in_recep-Lettuce-None-CounterTop-10/trial_T20190909_174840_771703/game.tw-pddl
L1-control-deepseek,6,pick_clean_then_place,0,49,36,110014,270,35.8,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_clean_then_place_in_recep-Pan-None-CounterTop-10/trial_T20190908_032518_891433/game.tw-pddl
L1-control-deepseek,7,pick_clean_then_place,0,49,18,149949,2239,49.3,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_clean_then_place_in_recep-Plate-None-CounterTop-10/trial_T20190908_213356_017769/game.tw-pddl
L1-control-deepseek,8,pick_heat_then_place,0,49,31,100130,296,38.8,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_heat_then_place_in_recep-Mug-None-CoffeeMachine-10/trial_T20190907_171933_349922/game.tw-pddl
L1-control-deepseek,9,pick_and_place,0,49,17,112147,1230,42.8,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_and_place_simple-SaltShaker-None-Drawer-10/trial_T20190909_021728_339782/game.tw-pddl
L1-control-deepseek,10,pick_clean_then_place,0,49,36,115482,396,38.8,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_clean_then_place_in_recep-Bowl-None-Cabinet-10/trial_T20190909_061130_844814/game.tw-pddl
L1-control-deepseek,11,pick_and_place,0,49,47,79966,244,39.1,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_and_place_simple-Vase-None-Safe-219/trial_T20190908_205204_244321/game.tw-pddl
L1-control-deepseek,12,pick_cool_then_place,0,49,21,124102,1181,46.0,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_cool_then_place_in_recep-Potato-None-Microwave-10/trial_T20190907_033157_424297/game.tw-pddl
L1-control-deepseek,13,pick_cool_then_place,0,49,38,115328,606,41.9,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_cool_then_place_in_recep-Mug-None-CoffeeMachine-10/trial_T20190907_183715_299073/game.tw-pddl
L1-control-deepseek,14,pick_heat_then_place,0,49,31,107726,809,45.1,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_heat_then_place_in_recep-Egg-None-GarbageCan-10/trial_T20190908_113610_425142/game.tw-pddl
L1-control-deepseek,15,pick_cool_then_place,1,5,0,9471,59,4.4,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_cool_then_place_in_recep-Mug-None-CoffeeMachine-10/trial_T20190907_183853_958104/game.tw-pddl
L1-control-deepseek,16,pick_heat_then_place,0,49,11,119132,1025,49.8,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_heat_then_place_in_recep-Cup-None-Cabinet-10/trial_T20190907_083346_800823/game.tw-pddl
L1-control-deepseek,17,pick_clean_then_place,0,49,13,136940,1782,48.5,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_clean_then_place_in_recep-Mug-None-CoffeeMachine-10/trial_T20190907_221355_558505/game.tw-pddl
L1-control-deepseek,18,pick_clean_then_place,0,49,18,129466,1579,47.4,/Users/turbineyan/workspace/01-repo/03-agents/Turbo-pi/packages/agent-server/eval/alfworld_data/json_2.1.1/valid_unseen/pick_clean_then_place_in_recep-SoapBar-None-Cabinet-424/trial_T20190908_214926_337906/game.tw-pddl
